load,parallelization_strategy,frequency,request_type,energy
0.5,TP8,800,SS,137.27004195804196
1.0,TP8,800,SS,144.30886956521738
1.5,TP8,800,SS,149.6819512195122
2.0,TP8,800,SS,151.2331976047904
2.5,TP8,800,SS,151.7998604651163
3.0,TP8,800,SS,153.32606896551724
3.5,TP8,800,SS,152.67056647398846
4.0,TP8,800,SS,154.43958620689656
4.5,TP8,800,SS,155.57057627118644
5.0,TP8,800,SS,155.74686363636363
5.5,TP8,800,SS,157.5119534883721
6.0,TP8,800,SS,158.48867039106145
6.5,TP8,800,SS,159.35142222222223
7.0,TP8,800,SS,160.86570786516856
7.5,TP8,800,SS,161.69179888268155
8.0,TP8,800,SS,161.64426373626375
8.5,TP8,800,SS,163.49486315789474
9.0,TP8,800,SS,164.07961497326204
0.5,TP8,1000,SS,142.19443478260868
1.0,TP8,1000,SS,152.88789743589743
1.5,TP8,1000,SS,162.06810000000002
2.0,TP8,1000,SS,164.8795582822086
2.5,TP8,1000,SS,164.32239520958083
3.0,TP8,1000,SS,167.39161676646708
3.5,TP8,1000,SS,166.01392771084338
4.0,TP8,1000,SS,167.208
4.5,TP8,1000,SS,168.12785964912283
5.0,TP8,1000,SS,169.32634319526628
5.5,TP8,1000,SS,170.5885575757576
6.0,TP8,1000,SS,171.18256647398843
6.5,TP8,1000,SS,171.5226358381503
7.0,TP8,1000,SS,172.68683720930233
7.5,TP8,1000,SS,172.70423121387282
8.0,TP8,1000,SS,174.34367816091952
8.5,TP8,1000,SS,176.17872727272726
9.0,TP8,1000,SS,176.6254797687861
0.5,TP8,1200,SS,149.3760588235294
1.0,TP8,1200,SS,165.5267450980392
1.5,TP8,1200,SS,176.47179487179486
2.0,TP8,1200,SS,183.9972
2.5,TP8,1200,SS,182.0240975609756
3.0,TP8,1200,SS,184.95214545454544
3.5,TP8,1200,SS,182.6668606060606
4.0,TP8,1200,SS,184.93949090909092
4.5,TP8,1200,SS,185.29614545454547
5.0,TP8,1200,SS,186.01240718562875
5.5,TP8,1200,SS,187.2942
6.0,TP8,1200,SS,187.9824
6.5,TP8,1200,SS,190.3492705882353
7.0,TP8,1200,SS,191.74347305389222
7.5,TP8,1200,SS,193.2407619047619
8.0,TP8,1200,SS,193.32889940828403
8.5,TP8,1200,SS,193.62884571428572
