load,parallelization_strategy,frequency,request_type,performance
0.5,TP8,800,SS,0.1268559002876282
1.0,TP8,800,SS,0.15614581108093262
1.5,TP8,800,SS,0.14357481956481932
2.0,TP8,800,SS,0.1551177978515625
2.5,TP8,800,SS,0.15727005958557125
3.0,TP8,800,SS,0.1731203913688659
3.5,TP8,800,SS,0.16094957351684572
4.0,TP8,800,SS,0.17484404087066646
4.5,TP8,800,SS,0.17487686157226562
5.0,TP8,800,SS,0.18791574478149414
5.5,TP8,800,SS,0.191660361289978
6.0,TP8,800,SS,0.2128327178955078
6.5,TP8,800,SS,0.23287914991378783
7.0,TP8,800,SS,0.2521212196350098
7.5,TP8,800,SS,0.25123947143554687
8.0,TP8,800,SS,0.28671118736267087
8.5,TP8,800,SS,0.2744162559509277
9.0,TP8,800,SS,0.30173932075500465
0.5,TP8,1000,SS,0.10665385007858279
1.0,TP8,1000,SS,0.10445933341979981
1.5,TP8,1000,SS,0.11212286949157715
2.0,TP8,1000,SS,0.11852140426635743
2.5,TP8,1000,SS,0.12193067073822021
3.0,TP8,1000,SS,0.11840132474899291
3.5,TP8,1000,SS,0.13328874588012699
4.0,TP8,1000,SS,0.13068869590759277
4.5,TP8,1000,SS,0.15332610130310023
5.0,TP8,1000,SS,0.14561859130859373
5.5,TP8,1000,SS,0.1481704998016357
6.0,TP8,1000,SS,0.15508301258087157
6.5,TP8,1000,SS,0.16346716880798345
7.0,TP8,1000,SS,0.17495138168334962
7.5,TP8,1000,SS,0.18318949460983272
8.0,TP8,1000,SS,0.19489093065261845
8.5,TP8,1000,SS,0.19491408109664923
9.0,TP8,1000,SS,0.2224069261550903
0.5,TP8,1200,SS,0.09527024984359743
1.0,TP8,1200,SS,0.091465425491333
1.5,TP8,1200,SS,0.10511366844177246
2.0,TP8,1200,SS,0.09827346801757814
2.5,TP8,1200,SS,0.1051143479347229
3.0,TP8,1200,SS,0.11077626228332517
3.5,TP8,1200,SS,0.11111785888671875
4.0,TP8,1200,SS,0.11279702186584463
4.5,TP8,1200,SS,0.11183707952499379
5.0,TP8,1200,SS,0.1266661453247069
5.5,TP8,1200,SS,0.11695696115493774
6.0,TP8,1200,SS,0.13113422870635985
6.5,TP8,1200,SS,0.15030294656753548
7.0,TP8,1200,SS,0.15648183345794675
7.5,TP8,1200,SS,0.16636830568313596
8.0,TP8,1200,SS,0.1558303427696229
8.5,TP8,1200,SS,0.15734200954437255
9.0,TP8,1200,SS,0.16590416431426994
0.5,TP8,1400,SS,0.08422545671463014
1.0,TP8,1400,SS,0.0823387145996094
1.5,TP8,1400,SS,0.08974476337432861
2.0,TP8,1400,SS,0.09333600997924804
2.5,TP8,1400,SS,0.09341973066329956
3.0,TP8,1400,SS,0.09444724321365355
3.5,TP8,1400,SS,0.09458065032958984
4.0,TP8,1400,SS,0.09590837001800537
4.5,TP8,1400,SS,0.0996065282821655
5.0,TP8,1400,SS,0.09894951820373535
5.5,TP8,1400,SS,0.09899686813354493
6.0,TP8,1400,SS,0.1193334102630615
6.5,TP8,1400,SS,0.11905152797698976
7.0,TP8,1400,SS,0.16998169898986815
7.5,TP8,1400,SS,0.14294801235198973
8.0,TP8,1400,SS,0.1557232475280765
8.5,TP8,1400,SS,0.14451993227005006
9.0,TP8,1400,SS,0.15091447353363036
0.5,TP8,1600,SS,0.08364979267120363
1.0,TP8,1600,SS,0.0801867485046387
1.5,TP8,1600,SS,0.08400166511535644
2.0,TP8,1600,SS,0.08523197174072267
2.5,TP8,1600,SS,0.0881243634223938
3.0,TP8,1600,SS,0.08521266937255857
3.5,TP8,1600,SS,0.08839131355285644
4.0,TP8,1600,SS,0.08779067516326904
4.5,TP8,1600,SS,0.09124955415725704
5.0,TP8,1600,SS,0.09040338516235351
5.5,TP8,1600,SS,0.09110371828079224
6.0,TP8,1600,SS,0.1042832660675048
6.5,TP8,1600,SS,0.1115346670150757
7.0,TP8,1600,SS,0.10962453365325928
7.5,TP8,1600,SS,0.14035257101058954
8.0,TP8,1600,SS,0.11684196710586554
8.5,TP8,1600,SS,0.13584757804870606
9.0,TP8,1600,SS,0.13157950401306143
0.5,TP8,1800,SS,0.0802959179878235
1.0,TP8,1800,SS,0.08015456199645998
1.5,TP8,1800,SS,0.08060312271118161
2.0,TP8,1800,SS,0.08196706771850587
2.5,TP8,1800,SS,0.08134828090667724
3.0,TP8,1800,SS,0.08319892883300781
3.5,TP8,1800,SS,0.11355062484741221
