InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,2.0,8,15.4,23.48,1.81,1.87,124.53,42.0,35.0,1980.0,2619.0,195.44,46.0,39.0,1980.0,2619.0
1024,350,4.0,8,13.66,22.36,1.87,1.99,126.24,43.0,36.0,1980.0,2619.0,206.7,47.0,39.0,1980.0,2619.0
1024,350,6.0,8,13.19,18.59,1.87,1.94,180.48,43.0,37.0,1980.0,2619.0,211.46,47.0,39.0,1980.0,2619.0
1024,350,8.0,8,13.35,19.36,1.9,2.02,183.61,43.0,37.0,1980.0,2619.0,215.41,47.0,40.0,1980.0,2619.0
1024,350,10.0,8,13.56,18.96,1.96,2.13,184.49,44.0,37.0,1980.0,2619.0,219.39,48.0,40.0,1980.0,2619.0
1024,350,12.0,8,14.09,21.5,2.0,2.17,183.61,44.0,37.0,1980.0,2619.0,224.88,48.0,40.0,1980.0,2619.0
1024,350,14.0,8,14.41,21.04,2.04,2.21,184.56,44.0,37.0,1980.0,2619.0,225.72,48.0,40.0,1980.0,2619.0
1024,350,16.0,8,14.07,19.31,2.11,2.3,186.84,44.0,38.0,1980.0,2619.0,230.11,48.0,40.65,1980.0,2619.0
1024,350,18.0,8,14.54,20.61,2.16,2.35,186.86,44.0,38.0,1980.0,2619.0,235.36,48.0,41.0,1980.0,2619.0
1024,350,20.0,8,13.79,19.81,2.19,2.32,186.17,44.0,38.0,1980.0,2619.0,236.88,48.0,41.0,1980.0,2619.0
1024,350,22.0,8,14.04,22.23,2.2,2.55,195.35,44.0,38.0,1980.0,2619.0,241.52,48.0,41.0,1980.0,2619.0
1024,350,24.0,8,14.82,24.14,2.28,2.55,193.87,44.0,38.0,1980.0,2619.0,246.15,48.0,41.0,1980.0,2619.0
1024,350,26.0,8,14.8,20.86,2.31,2.5,195.01,44.0,38.0,1980.0,2619.0,246.57,49.0,42.0,1980.0,2619.0
1024,350,28.0,8,15.46,23.56,2.4,2.72,199.0,45.0,38.0,1980.0,2619.0,250.98,49.0,42.0,1980.0,2619.0
1024,350,30.0,8,15.92,26.86,2.44,2.72,197.51,45.0,39.0,1980.0,2619.0,254.38,49.0,42.0,1980.0,2619.0
1024,350,32.0,8,15.99,25.42,2.49,2.89,204.06,45.0,39.0,1980.0,2619.0,256.82,49.0,42.0,1980.0,2619.0
