InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,2.0,8,74.76,112.65,14.62,15.44,121.27,42.0,36.0,1980.0,2619.0,580.54,58.0,48.0,1980.0,2619.0
1024,350,4.0,8,83.89,127.56,17.39,19.17,124.55,45.0,38.0,1980.0,2619.0,613.54,60.0,52.0,1980.0,2619.0
1024,350,6.0,8,90.55,164.46,19.26,22.07,351.79,54.0,43.0,1980.0,2619.0,629.32,61.0,54.0,1980.0,2619.0
1024,350,8.0,8,100.77,198.47,22.3,25.48,358.34,54.0,44.0,1980.0,2619.0,657.14,62.0,57.0,1980.0,2619.0
1024,350,10.0,8,119.64,231.24,27.74,34.5,363.45,55.0,46.0,1980.0,2619.0,695.99,63.0,59.0,1980.0,2619.0
1024,350,12.0,8,141.06,289.63,33.64,43.38,369.5,56.0,48.0,1980.0,2619.0,709.77,64.0,61.0,1980.0,2619.0
1024,350,14.0,8,174.77,406.15,40.51,52.62,379.13,56.0,49.0,1980.0,2619.0,720.04,64.0,62.0,1980.0,2619.0
1024,350,14.0,8,170.31,359.23,40.15,52.03,403.66,56.0,51.0,1980.0,2619.0,720.06,65.0,63.0,1980.0,2619.0
1024,350,16.0,8,248.4,619.67,47.65,63.8,396.4,57.0,51.0,1980.0,2619.0,728.42,65.0,63.0,1980.0,2619.0
1024,350,16.0,8,257.86,718.47,48.51,65.45,413.29,57.0,52.0,1980.0,2619.0,732.69,65.0,63.0,1980.0,2619.0
