InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,4.0,8,36.82,54.8,6.3,6.91,68.82,48.0,33.0,1140.0,1593.0,255.26,57.0,44.0,1410.0,1593.0
1024,350,6.0,8,38.02,57.97,6.69,7.14,171.13,51.0,40.0,1410.0,1593.0,265.26,57.0,45.0,1410.0,1593.0
1024,350,8.0,8,39.1,63.62,7.15,7.77,174.14,51.0,41.0,1410.0,1593.0,273.41,57.0,46.0,1410.0,1593.0
1024,350,10.0,8,41.99,77.48,7.99,9.12,176.87,51.0,41.0,1410.0,1593.0,281.27,58.0,47.0,1410.0,1593.0
1024,350,12.0,8,45.72,87.84,8.87,9.96,178.88,51.0,42.0,1410.0,1593.0,292.6,58.0,48.0,1410.0,1593.0
1024,350,14.0,8,50.18,113.61,10.11,11.98,184.37,51.0,42.0,1410.0,1593.0,302.65,58.0,49.0,1410.0,1593.0
1024,350,16.0,8,58.92,136.48,11.92,14.02,187.21,51.0,44.0,1410.0,1593.0,314.83,59.0,51.0,1410.0,1593.0
1024,350,18.0,8,63.9,161.87,13.34,16.37,191.29,52.0,44.0,1410.0,1593.0,324.94,59.0,52.0,1410.0,1593.0
1024,350,20.0,8,71.33,154.84,17.3,21.32,206.52,52.0,45.0,1410.0,1593.0,333.77,60.0,53.0,1410.0,1593.0
1024,350,22.0,8,85.36,182.14,18.64,22.61,215.69,52.0,46.0,1410.0,1593.0,340.8,61.0,54.0,1410.0,1593.0
1024,350,24.0,8,106.7,304.37,22.17,29.15,223.44,52.0,47.0,1410.0,1593.0,350.33,61.0,55.0,1410.0,1593.0
1024,350,26.0,8,884.84,2493.04,27.71,35.72,232.83,53.0,48.0,1410.0,1593.0,358.36,62.0,57.0,1410.0,1593.0
1024,350,26.0,8,907.9,2855.73,28.39,36.54,232.67,53.0,49.0,1410.0,1593.0,361.25,62.0,57.0,1410.0,1593.0
