InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,4.0,8,15.45,19.74,3.19,3.3,67.82,47.0,33.0,1140.0,1593.0,144.16,53.0,38.09,1410.0,1593.0
1024,350,6.0,8,15.17,19.82,3.21,3.31,68.82,48.0,33.0,1140.0,1593.0,151.64,54.0,39.0,1410.0,1593.0
1024,350,8.0,8,15.09,20.29,3.28,3.37,71.37,48.0,34.0,1140.0,1593.0,157.0,54.0,39.0,1410.0,1593.0
1024,350,10.0,8,15.45,21.22,3.36,3.54,72.31,49.0,35.0,1140.0,1593.0,160.02,54.0,40.0,1410.0,1593.0
1024,350,12.0,8,15.82,23.08,3.44,3.62,71.97,49.0,35.0,1140.0,1593.0,162.87,54.0,40.0,1410.0,1593.0
1024,350,14.0,8,16.6,24.26,3.52,3.7,71.97,49.0,35.0,1140.0,1593.0,166.81,54.0,40.0,1410.0,1593.0
1024,350,16.0,8,17.04,26.95,3.61,3.9,71.97,49.0,35.0,1140.0,1593.0,170.13,54.0,41.0,1410.0,1593.0
1024,350,18.0,8,17.42,28.56,3.67,3.98,71.97,49.0,35.0,1140.0,1593.0,173.78,55.0,41.0,1410.0,1593.0
1024,350,20.0,8,17.65,29.32,3.77,3.98,81.93,49.0,36.0,1410.0,1593.0,178.66,55.0,41.0,1410.0,1593.0
1024,350,22.0,8,17.91,28.09,3.81,4.23,127.23,49.0,37.0,1410.0,1593.0,182.95,55.0,42.0,1410.0,1593.0
1024,350,24.0,8,18.58,30.58,3.94,4.36,129.28,49.0,37.0,1410.0,1593.0,187.42,55.0,42.0,1410.0,1593.0
1024,350,26.0,8,19.25,32.69,4.05,4.34,130.52,49.0,38.0,1410.0,1593.0,189.63,55.0,42.0,1410.0,1593.0
1024,350,28.0,8,19.92,33.49,4.16,4.65,129.32,50.0,38.0,1410.0,1593.0,194.69,55.0,43.0,1410.0,1593.0
1024,350,30.0,8,20.89,37.98,4.31,4.74,128.65,50.0,37.0,1410.0,1593.0,196.99,55.0,43.0,1410.0,1593.0
1024,350,32.0,8,21.98,42.1,4.43,5.04,72.31,49.0,36.0,1140.0,1593.0,202.99,56.0,43.0,1410.0,1593.0
1024,350,34.0,8,23.25,42.14,4.55,5.12,71.97,49.0,36.0,1140.0,1593.0,204.34,55.0,43.0,1410.0,1593.0
1024,350,36.0,8,24.12,46.56,4.77,5.35,71.97,49.0,35.0,1140.0,1593.0,207.4,55.0,43.0,1410.0,1593.0
1024,350,38.0,8,24.92,43.05,4.92,5.56,71.97,49.0,35.0,1140.0,1593.0,213.51,55.0,43.0,1410.0,1593.0
1024,350,40.0,8,25.27,43.98,5.12,5.73,71.97,49.0,35.0,1140.0,1593.0,216.02,56.0,44.0,1410.0,1593.0
1024,350,42.0,8,26.97,47.99,5.32,5.93,71.97,49.0,35.0,1140.0,1593.0,219.59,56.0,44.0,1410.0,1593.0
1024,350,44.0,8,28.8,47.37,5.79,6.48,71.97,49.0,36.0,1140.0,1593.0,223.5,56.0,44.0,1410.0,1593.0
1024,350,46.0,8,30.97,52.13,6.17,6.97,71.97,49.0,35.0,1140.0,1593.0,227.18,56.0,44.0,1410.0,1593.0
1024,350,48.0,8,31.66,55.52,6.34,7.28,71.97,49.0,35.0,1140.0,1593.0,231.0,56.0,45.0,1410.0,1593.0
1024,350,50.0,8,34.76,64.69,6.59,7.87,160.67,50.0,40.0,1410.0,1593.0,238.08,56.0,45.0,1410.0,1593.0
1024,350,52.0,8,37.6,69.32,6.98,8.6,155.68,50.0,40.0,1410.0,1593.0,243.48,57.0,45.0,1410.0,1593.0
1024,350,54.0,8,42.79,80.02,7.55,9.26,169.69,51.0,42.0,1410.0,1593.0,248.7,57.0,46.0,1410.0,1593.0
1024,350,56.0,8,95.54,383.2,10.01,14.04,173.46,51.0,42.0,1410.0,1593.0,261.39,57.0,47.0,1410.0,1593.0
1024,350,58.0,8,85.81,379.47,9.32,11.0,175.89,51.0,42.0,1410.0,1593.0,257.8,57.0,47.0,1410.0,1593.0
1024,350,60.0,8,301.84,1271.68,11.93,15.14,175.79,50.0,42.0,1410.0,1593.0,268.19,57.0,48.0,1410.0,1593.0
1024,350,60.0,8,226.98,1124.79,11.33,15.24,176.87,51.0,42.0,1410.0,1593.0,267.6,58.0,48.0,1410.0,1593.0
