InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,4.0,8,36.62,60.21,6.51,7.15,60.12,41.0,42.0,1290.0,877.0,155.2,44.0,46.0,1530.0,877.0
1024,350,6.0,8,37.5,54.23,6.98,7.55,63.24,41.0,42.0,1290.0,877.0,151.41,45.0,47.0,1530.0,877.0
1024,350,8.0,8,39.67,66.33,8.3,11.01,70.62,42.0,43.0,1530.0,877.0,141.32,45.0,47.0,1530.0,877.0
1024,350,10.0,8,40.81,63.87,9.03,10.38,87.52,42.0,43.0,1530.0,877.0,148.95,45.0,47.0,1530.0,877.0
1024,350,12.0,8,44.57,65.8,10.42,11.6,90.9,42.0,43.0,1530.0,877.0,154.13,45.0,48.0,1530.0,877.0
1024,350,14.0,8,46.76,78.82,13.25,16.31,83.66,42.0,44.0,1530.0,877.0,160.27,46.0,48.0,1530.0,877.0
1024,350,16.0,8,51.54,81.67,16.96,21.16,90.36,43.0,44.0,1530.0,877.0,167.98,46.0,49.0,1530.0,877.0
1024,350,18.0,8,55.93,85.55,22.82,30.35,83.66,43.0,44.0,1530.0,877.0,174.0,47.0,49.0,1530.0,877.0
1024,350,20.0,8,108.8,1003.66,30.34,39.38,87.04,43.0,45.0,1530.0,877.0,178.02,47.0,49.0,1530.0,877.0
1024,350,20.0,8,121.36,1209.01,30.73,39.98,94.7,43.0,45.0,1530.0,877.0,181.37,47.0,49.0,1530.0,877.0
